S0, MC, AT, Avg, Diff
97.75, 3.326063507474849, 3.3260151760973544, 3.3260393417861014, 0.000048331377494381655
104.5, 4.216342063133502, 4.217760257672103, 4.217051160402803, 0.0014181945386013695
106.5, 4.386007023701194, 4.387254085768951, 4.386630554735072, 0.001247062067756488
64.75, 0.06017567647690372, 0.0601635266299155, 0.06016960155340961, 0.000012149846988225577
136, 0, 0, 0, 0
123, 2.757281845317371, 2.757304147049966, 2.7572929961836685, 0.000022301732594876
86, 1.4799902020045426, 1.4800234363767746, 1.4800068191906586, 0.000033234372232016085
123.25, 2.680721635590636, 2.6813288371730963, 2.681025236381866, 0.0006072015824605259
139.25, 0, 0, 0, 0
101.25, 3.837358008989368, 3.8379107936692054, 3.8376344013292867, 0.000552784679837437
77, 0.5312148023875018, 0.5308323871882584, 0.5310235947878801, 0.0003824151992434244
64.25, 0.05342718479993049, 0.053566901066825205, 0.05349704293337785, 0.00013971626689471273
118.25, 3.8837781216832723, 3.883708714079187, 3.8837434178812296, 0.00006940760408546964
133.5, 0, 0, 0, 0
130.75, 0, 0, 0, 0
85.5, 1.413311785973885, 1.4118900847120839, 1.4126009353429845, 0.0014217012618011893
71.5, 0.22696160727574513, 0.2276350209302403, 0.22729831410299273, 0.0006734136544951641
88.25, 1.8022460727253435, 1.8025799730172443, 1.8024130228712938, 0.0003339002919007239
134.25, 0, 0, 0, 0
119.75, 3.5910268193315797, 3.5914143489053143, 3.591220584118447, 0.00038752957373455743
107.25, 4.434693211335236, 4.4353842966461405, 4.435038753990688, 0.0006910853109047821
82.25, 1.0136884638646728, 1.0139955612728124, 1.0138420125687426, 0.0003070974081396116
62.75, 0.03761425091194236, 0.03757891432672928, 0.03759658261933582, 0.00003533658521307631
139.5, 0, 0, 0, 0
82.75, 1.0703420416871112, 1.0700471964427405, 1.0701946190649259, 0.0002948452443707339
118.5, 3.8385520257780597, 3.8396571699341506, 3.839104597856105, 0.0011051441560909758
104.75, 4.242260588656699, 4.240528228467081, 4.24139440856189, 0.0017323601896181984
93.75, 2.67794445432436, 2.677933945680544, 2.6779392000024522, 0.00001050864381602068
130, 0, 0, 0, 0
87, 1.6203447158471806, 1.6203398867211665, 1.6203423012841736, 0.0000048291260141830605
92.25, 2.431891686549061, 2.4321990984213917, 2.432045392485226, 0.00030741187233074285
102, 3.9350544828141363, 3.9354905043907946, 3.9352724936024654, 0.00043602157665834085
103.25, 4.085611043049657, 4.085410090448923, 4.08551056674929, 0.0002009526007347162
121.25, 3.2409081595349143, 3.241105545019626, 3.24100685227727, 0.00019738548471170958
113.75, 4.42662683696896, 4.427048283474676, 4.426837560221818, 0.00042144650571618314
128.25, 0.812579751671026, 0.8124118806335241, 0.8124958161522751, 0.0001678710375019321
123.5, 2.6033359769523425, 2.6039712917067828, 2.6036536343295626, 0.0006353147544402304
114.25, 4.391335781362166, 4.390523266239956, 4.390929523801061, 0.0008125151222095894
135.25, 0, 0, 0, 0
136.75, 0, 0, 0, 0
128, 0.9220531907408868, 0.9215234836324335, 0.9217883371866602, 0.0005297071084532368
96.5, 3.127213352040274, 3.1275951047071473, 3.1274042283737105, 0.0003817526668732363
85.25, 1.3793862967213586, 1.379103957467842, 1.3792451270946002, 0.0002823392535165059
137.5, 0, 0, 0, 0
132.25, 0, 0, 0, 0
66.25, 0.08328751314380319, 0.08324583685914591, 0.08326667500147455, 0.000041676284657274354
67.25, 0.1026286706345729, 0.10251612557513803, 0.10257239810485547, 0.00011254505943486537
117.75, 3.9677014242905324, 3.968170639506676, 3.967936031898604, 0.0004692152161434038
90.25, 2.110734881736826, 2.1105664939698894, 2.110650687853358, 0.0001683877669367284
119, 3.7451385346800303, 3.7446203413332526, 3.7448794380066417, 0.0005181933467777178
112.75, 4.483920280471341, 4.483604632146184, 4.483762456308762, 0.0003156483251567366
60.25, 0.019796698824868165, 0.019726970069544953, 0.01976183444720656, 0.00006972875532321177
94.75, 2.844372289595566, 2.842375722617937, 2.8433740061067514, 0.001996566977628955
91, 2.2297666767919297, 2.2300382307859974, 2.229902453788964, 0.00027155399406764147
140, 0, 0, 0, 0
112.25, 4.504378383453759, 4.504298576889186, 4.504338480171473, 0.0000798065645737367
122.25, 2.974629286468495, 2.9746884859955847, 2.9746588862320396, 0.0000591995270897705
98.75, 3.479983323403234, 3.4788982688001897, 3.479440796101712, 0.0010850546030440889
103.75, 4.1413156016601835, 4.140099470884369, 4.140707536272276, 0.0012161307758145057
121.5, 3.1764998235442827, 3.1764110430604124, 3.1764554333023476, 0.0000887804838702877
